zip,zip_type,primary_city,county,timezone,area_codes,latitude,longitude,world_region,country,decommissioned,estimated_population,City,CriteriaID,State,StateAbrv,DMARegion,DMARegionCode
00501,UNIQUE,Holtsville,SuffolkCounty,America/New_York,631,40.81,-73.04,NA,US,0,384,Holtsville,1023007,NewYork,NY,"New York, NY",501
00544,UNIQUE,Holtsville,SuffolkCounty,America/New_York,631,40.81,-73.04,NA,US,0,0,Holtsville,1023007,NewYork,NY,"New York, NY",501
01001,STANDARD,Agawam,HampdenCounty,America/New_York,413,42.06,-72.61,NA,US,0,14021,Agawam,1018091,Massachusetts,MA,"Springfield-Holyoke, MA",543
01002,STANDARD,Amherst,HampshireCounty,America/New_York,413,42.37,-72.52,NA,US,0,16532,Amherst,1018094,Massachusetts,MA,"Springfield-Holyoke, MA",543
01003,POBOX,Amherst,HampshireCounty,America/New_York,413,42.37,-72.52,NA,US,0,0,Amherst,1018094,Massachusetts,MA,"Springfield-Holyoke, MA",543
01004,POBOX,Amherst,HampshireCounty,America/New_York,413,42.37,-72.52,NA,US,0,742,Amherst,1018094,Massachusetts,MA,"Springfield-Holyoke, MA",543
01005,STANDARD,Barre,WorcesterCounty,America/New_York,978,42.42,-72.1,NA,US,0,3935,Barre,1018113,Massachusetts,MA,"Boston, MA-Manchester, NH",506
01005,STANDARD,Barre,WorcesterCounty,America/New_York,978,42.42,-72.1,NA,US,0,3935,Barre,9051549,Massachusetts,MA,"Boston, MA-Manchester, NH",506
01007,STANDARD,Belchertown,HampshireCounty,America/New_York,413,42.27,-72.4,NA,US,0,12895,Belchertown,1018116,Massachusetts,MA,"Springfield-Holyoke, MA",543
01007,STANDARD,Belchertown,HampshireCounty,America/New_York,413,42.27,-72.4,NA,US,0,12895,Belchertown,9051572,Massachusetts,MA,"Springfield-Holyoke, MA",543
01008,STANDARD,Blandford,HampdenCounty,America/New_York,413,42.18,-72.93,NA,US,0,1153,Blandford,1018125,Massachusetts,MA,"Springfield-Holyoke, MA",543
01010,STANDARD,Brimfield,HampdenCounty,America/New_York,413,42.11,-72.2,NA,US,0,3312,Brimfield,1018135,Massachusetts,MA,"Springfield-Holyoke, MA",543
01011,STANDARD,Chester,HampdenCounty,America/New_York,413,42.28,-72.98,NA,US,0,1012,Chester,1018160,Massachusetts,MA,"Springfield-Holyoke, MA",543
01012,STANDARD,Chesterfield,HampshireCounty,America/New_York,413,42.4,-72.85,NA,US,0,639,Chesterfield,1018161,Massachusetts,MA,"Springfield-Holyoke, MA",543
01013,STANDARD,Chicopee,HampdenCounty,America/New_York,413,42.17,-72.57,NA,US,0,16669,Chicopee,1018163,Massachusetts,MA,"Springfield-Holyoke, MA",543
01014,POBOX,Chicopee,HampdenCounty,America/New_York,413,42.17,-72.57,NA,US,0,0,Chicopee,1018163,Massachusetts,MA,"Springfield-Holyoke, MA",543
01020,STANDARD,Chicopee,HampdenCounty,America/New_York,413,42.17,-72.57,NA,US,0,24570,Chicopee,1018163,Massachusetts,MA,"Springfield-Holyoke, MA",543
01021,POBOX,Chicopee,HampdenCounty,America/New_York,413,42.17,-72.57,NA,US,0,509,Chicopee,1018163,Massachusetts,MA,"Springfield-Holyoke, MA",543
01022,STANDARD,Chicopee,HampdenCounty,America/New_York,413,42.17,-72.57,NA,US,0,1713,Chicopee,1018163,Massachusetts,MA,"Springfield-Holyoke, MA",543
01026,STANDARD,Cummington,HampshireCounty,America/New_York,413,42.46,-72.9,NA,US,0,865,Cummington,1018172,Massachusetts,MA,"Springfield-Holyoke, MA",543
01027,STANDARD,Easthampton,HampshireCounty,America/New_York,413,42.26,-72.68,NA,US,0,15525,Easthampton,1018196,Massachusetts,MA,"Springfield-Holyoke, MA",543
01028,STANDARD,EastLongmeadow,HampdenCounty,America/New_York,413,42.06,-72.51,NA,US,0,14024,EastLongmeadow,1018191,Massachusetts,MA,"Springfield-Holyoke, MA",543
01030,STANDARD,FeedingHills,HampdenCounty,America/New_York,413,42.06,-72.67,NA,US,0,10449,FeedingHills,1018206,Massachusetts,MA,"Springfield-Holyoke, MA",543
01031,STANDARD,Gilbertville,WorcesterCounty,America/New_York,413,42.35,-72.21,NA,US,0,932,Gilbertville,1018214,Massachusetts,MA,"Boston, MA-Manchester, NH",506
01032,STANDARD,Goshen,HampshireCounty,America/New_York,413,42.43,-72.8,NA,US,0,489,Goshen,1018216,Massachusetts,MA,"Springfield-Holyoke, MA",543
01033,STANDARD,Granby,HampshireCounty,America/New_York,413,42.26,-72.52,NA,US,0,5647,Granby,1018218,Massachusetts,MA,"Springfield-Holyoke, MA",543
01034,STANDARD,Granville,HampdenCounty,America/New_York,413,42.06,-72.86,NA,US,0,1787,Granville,1018219,Massachusetts,MA,"Springfield-Holyoke, MA",543
01035,STANDARD,Hadley,HampshireCounty,America/New_York,413,42.35,-72.58,NA,US,0,4327,Hadley,1018226,Massachusetts,MA,"Springfield-Holyoke, MA",543
